V1 V2 pop country continent lang
Kaingang527 2760 837 Kaingang Brazil AMERICA Macro-Ge
Quechua529 2771 838 Quechua Peru AMERICA Quechuan
Quechua531 2772 838 Quechua Peru AMERICA Quechuan
Quechua533 2773 838 Quechua Peru AMERICA Quechuan
Quechua535 2774 838 Quechua Peru AMERICA Quechuan
Quechua537 2775 838 Quechua Peru AMERICA Quechuan
Quechua539 2776 838 Quechua Peru AMERICA Quechuan
Quechua541 2777 838 Quechua Peru AMERICA Quechuan
Quechua543 2778 838 Quechua Peru AMERICA Quechuan
Quechua545 2779 838 Quechua Peru AMERICA Quechuan
Quechua547 2780 838 Quechua Peru AMERICA Quechuan
Quechua549 2781 838 Quechua Peru AMERICA Quechuan
Quechua551 2782 838 Quechua Peru AMERICA Quechuan
Quechua553 2783 838 Quechua Peru AMERICA Quechuan
Quechua555 2784 838 Quechua Peru AMERICA Quechuan
Quechua557 2785 838 Quechua Peru AMERICA Quechuan
Quechua559 2786 838 Quechua Peru AMERICA Quechuan
Quechua561 2787 838 Quechua Peru AMERICA Quechuan
Quechua563 2788 838 Quechua Peru AMERICA Quechuan
Quechua565 2789 838 Quechua Peru AMERICA Quechuan
Quechua567 2790 838 Quechua Peru AMERICA Quechuan
Kogi569 2461 841 Kogi Colombia AMERICA Chibchan
Kogi571 2462 841 Kogi Colombia AMERICA Chibchan
Kogi573 2463 841 Kogi Colombia AMERICA Chibchan
Kogi575 2464 841 Kogi Colombia AMERICA Chibchan
Kogi577 2465 841 Kogi Colombia AMERICA Chibchan
Kogi579 2466 841 Kogi Colombia AMERICA Chibchan
Kogi581 2467 841 Kogi Colombia AMERICA Chibchan
Kogi583 2468 841 Kogi Colombia AMERICA Chibchan
Kogi585 2469 841 Kogi Colombia AMERICA Chibchan
Kogi587 2470 841 Kogi Colombia AMERICA Chibchan
Kogi589 2471 841 Kogi Colombia AMERICA Chibchan
Kogi591 2472 841 Kogi Colombia AMERICA Chibchan
Kogi593 2473 841 Kogi Colombia AMERICA Chibchan
Kogi595 2475 841 Kogi Colombia AMERICA Chibchan
Kogi597 2476 841 Kogi Colombia AMERICA Chibchan
Kogi599 2479 841 Kogi Colombia AMERICA Chibchan
Kogi601 2480 841 Kogi Colombia AMERICA Chibchan
Inga603 2501 843 Inga Colombia AMERICA Quechuan
Inga605 2502 843 Inga Colombia AMERICA Quechuan
Inga607 2503 843 Inga Colombia AMERICA Quechuan
Inga609 2504 843 Inga Colombia AMERICA Quechuan
Inga611 2505 843 Inga Colombia AMERICA Quechuan
Inga613 2506 843 Inga Colombia AMERICA Quechuan
Inga615 2507 843 Inga Colombia AMERICA Quechuan
Inga617 2508 843 Inga Colombia AMERICA Quechuan
Inga619 2509 843 Inga Colombia AMERICA Quechuan
Inga621 2510 843 Inga Colombia AMERICA Quechuan
Inga623 2512 843 Inga Colombia AMERICA Quechuan
Inga625 2513 843 Inga Colombia AMERICA Quechuan
Inga627 2514 843 Inga Colombia AMERICA Quechuan
Inga629 2516 843 Inga Colombia AMERICA Quechuan
Inga631 2517 843 Inga Colombia AMERICA Quechuan
Inga633 2518 843 Inga Colombia AMERICA Quechuan
Inga635 2519 843 Inga Colombia AMERICA Quechuan
Wayuu637 2522 844 Wayuu Colombia AMERICA Arawakan
Wayuu639 2523 844 Wayuu Colombia AMERICA Arawakan
Wayuu641 2524 844 Wayuu Colombia AMERICA Arawakan
Wayuu643 2525 844 Wayuu Colombia AMERICA Arawakan
